node	type
AMPA glutamate receptor clustering	pathway
ATP-dependent chromatin remodeling	pathway
B cell mediated immunity	pathway
CCDC86	dpgene
CDC25A	dpgene
CDKN1A	dpgene
COQ2	target
CSRP1	dpgene
Cdc42 protein signal transduction	pathway
EP300	target
FDFT1	target
FOXA3	target
HMGCR	target
HMGCR	dpgene
HMGCR inhibitor	moa
HNF1A	target
ICMT	target
LIPC	target
LPA	target
MHC class II biosynthetic process	pathway
NMDA glutamate receptor clustering	pathway
PCNA	dpgene
PON1	target
RHOA	dpgene
Roundabout signaling pathway	pathway
SCAP	target
SLC15A1	target
SREBF1	target
T cell activation involved in immune response	pathway
T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	pathway
T cell extravasation	pathway
T cell lineage commitment	pathway
T cell migration	pathway
T cell selection	pathway
TPM1	dpgene
TSC22D3	dpgene
UBC	target
USP24	target
Wnt signaling pathway, planar cell polarity pathway	pathway
ZNF542P	target
actin filament polymerization	pathway
actin polymerization or depolymerization	pathway
activation of adenylate cyclase activity	pathway
acute-phase response	pathway
acylglycerol biosynthetic process	pathway
acylglycerol catabolic process	pathway
acylglycerol homeostasis	pathway
adhesion of symbiont to host	pathway
adrenal gland development	pathway
alkaloid catabolic process	pathway
alkaloid metabolic process	pathway
alpha-beta T cell lineage commitment	pathway
amyloid fibril formation	pathway
amyloid precursor protein catabolic process	pathway
amyloid-beta clearance	pathway
amyloid-beta formation	pathway
androgen receptor signaling pathway	pathway
angiogenesis involved in wound healing	pathway
angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure	pathway
animal organ maturation	pathway
antibiotic biosynthetic process	pathway
apical junction assembly	pathway
apolipoprotein A-I-mediated signaling pathway	pathway
arachidonic acid metabolite production involved in inflammatory response	pathway
artery development	pathway
artery morphogenesis	pathway
astrocyte activation	pathway
axon regeneration	pathway
behavioral defense response	pathway
behavioral fear response	pathway
behavioral response to ethanol	pathway
beta selection	pathway
bile acid and bile salt transport	pathway
bone maturation	pathway
cGMP-mediated signaling	pathway
calcitriol biosynthetic process from calciol	pathway
calcium-mediated signaling using intracellular calcium source	pathway
carbohydrate derivative transport	pathway
cardiac muscle cell apoptotic process	pathway
cell adhesion molecule production	pathway
cell migration involved in sprouting angiogenesis	pathway
cell-cell adhesion involved in gastrulation	pathway
cell-cell adhesion via plasma-membrane adhesion molecules	pathway
cellular alcohol biosynthetic process	pathway
cellular alcohol metabolic process	pathway
cellular component maintenance	pathway
cellular extravasation	pathway
cellular response to alkaloid	pathway
cellular response to dexamethasone stimulus	pathway
cellular response to dopamine	pathway
cellular response to interleukin-6	pathway
cellular response to ionizing radiation	pathway
cellular response to lipoprotein particle stimulus	pathway
cellular response to low-density lipoprotein particle stimulus	pathway
cellular response to topologically incorrect protein	pathway
cellular response to unfolded protein	pathway
cellular response to very-low-density lipoprotein particle stimulus	pathway
cerebral cortex cell migration	pathway
cholesterol catabolic process	pathway
cholesterol efflux	pathway
cholesterol esterification	pathway
cholesterol import	pathway
cholesterol storage	pathway
chromatin remodeling	pathway
chromatin silencing	pathway
chronological cell aging	pathway
chylomicron assembly	pathway
chylomicron remnant clearance	pathway
chylomicron remodeling	pathway
cleavage furrow formation	pathway
coenzyme A metabolic process	pathway
collagen biosynthetic process	pathway
cytokine secretion involved in immune response	pathway
cytokinetic process	pathway
cytoskeleton-dependent cytokinesis	pathway
death-inducing signaling complex assembly	pathway
defense response to Gram-negative bacterium	pathway
demethylation	pathway
dendritic spine development	pathway
dendritic spine maintenance	pathway
dentinogenesis	pathway
drug export	pathway
ectodermal placode formation	pathway
ectodermal placode morphogenesis	pathway
embryonic appendage morphogenesis	pathway
embryonic limb morphogenesis	pathway
endoderm development	pathway
endoderm formation	pathway
endodermal cell differentiation	pathway
endoplasmic reticulum unfolded protein response	pathway
endosome to lysosome transport	pathway
endothelial cell apoptotic process	pathway
endothelial tube lumen extension	pathway
endothelial tube morphogenesis	pathway
epiboly	pathway
epiboly involved in wound healing	pathway
epithelial to mesenchymal transition	pathway
epoxygenase P450 pathway	pathway
establishment of apical/basal cell polarity	pathway
establishment of endothelial barrier	pathway
establishment of epithelial cell apical/basal polarity	pathway
establishment of epithelial cell polarity	pathway
establishment of monopolar cell polarity	pathway
establishment of planar polarity	pathway
establishment of tissue polarity	pathway
establishment or maintenance of actin cytoskeleton polarity	pathway
establishment or maintenance of apical/basal cell polarity	pathway
establishment or maintenance of bipolar cell polarity	pathway
establishment or maintenance of cytoskeleton polarity	pathway
establishment or maintenance of epithelial cell apical/basal polarity	pathway
establishment or maintenance of monopolar cell polarity	pathway
exogenous drug catabolic process	pathway
exploration behavior	pathway
eyelid development in camera-type eye	pathway
face development	pathway
fat-soluble vitamin biosynthetic process	pathway
fat-soluble vitamin metabolic process	pathway
fatty acid homeostasis	pathway
fertilization	pathway
flagellated sperm motility	pathway
fluvastatin	drug
forebrain cell migration	pathway
forebrain generation of neurons	pathway
forebrain radial glial cell differentiation	pathway
formation of primary germ layer	pathway
fungiform papilla formation	pathway
fungiform papilla morphogenesis	pathway
gastrulation	pathway
glucocorticoid metabolic process	pathway
glutamate receptor clustering	pathway
glycerolipid catabolic process	pathway
glycerophospholipid catabolic process	pathway
hair follicle placode formation	pathway
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	pathway
heterotypic cell-cell adhesion	pathway
high-density lipoprotein particle assembly	pathway
high-density lipoprotein particle clearance	pathway
high-density lipoprotein particle remodeling	pathway
histone H3 deacetylation	pathway
histone H3-K9 methylation	pathway
histone H3-K9 modification	pathway
histone H3-K9 trimethylation	pathway
histone H4 deacetylation	pathway
histone lysine methylation	pathway
histone methylation	pathway
humoral immune response mediated by circulating immunoglobulin	pathway
hydrogen peroxide biosynthetic process	pathway
immunoglobulin mediated immune response	pathway
insulin secretion involved in cellular response to glucose stimulus	pathway
integrin-mediated signaling pathway	pathway
interleukin-1 beta secretion	pathway
interleukin-1 secretion	pathway
interleukin-8 secretion	pathway
intermediate filament cytoskeleton organization	pathway
intermediate filament-based process	pathway
intestinal absorption	pathway
intestinal cholesterol absorption	pathway
intestinal lipid absorption	pathway
intracellular cholesterol transport	pathway
intracellular lipid transport	pathway
intracellular sterol transport	pathway
isoprenoid biosynthetic process	pathway
leukocyte activation involved in inflammatory response	pathway
leukocyte adhesion to vascular endothelial cell	pathway
leukocyte mediated cytotoxicity	pathway
leukocyte migration involved in inflammatory response	pathway
leukocyte tethering or rolling	pathway
leukotriene production involved in inflammatory response	pathway
lipid digestion	pathway
lipid hydroxylation	pathway
lipid transport across blood brain barrier	pathway
lipid transport involved in lipid storage	pathway
lipoprotein biosynthetic process	pathway
lipoprotein catabolic process	pathway
lipoprotein localization	pathway
lipoprotein metabolic process	pathway
lipoprotein transport	pathway
lipoxygenase pathway	pathway
locomotory exploration behavior	pathway
long-chain fatty acid biosynthetic process	pathway
long-term memory	pathway
lovastatin	drug
low-density lipoprotein particle clearance	pathway
low-density lipoprotein particle receptor catabolic process	pathway
low-density lipoprotein particle remodeling	pathway
low-density lipoprotein receptor particle metabolic process	pathway
lymphocyte migration	pathway
lysosomal protein catabolic process	pathway
lysosomal transport	pathway
maintenance of cell number	pathway
maintenance of chromatin silencing	pathway
maintenance of location in cell	pathway
membrane invagination	pathway
